"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","DAPR","MDPR","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","TSUN","WDF2","WDF5","WESD","WESF","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09","WT11"
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-01-01",,,,,"0.0","0.0","0.0",,"5.6","1.7","1.7",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-01-02",,,,,"0.0","0.0","0.0",,"2.8","-4.4","-3.9",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-01-03",,,,,"1.0","0.0","0.0",,"7.8","-4.4","3.9",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-01-04",,,,,"10.7","0.0","0.0",,"7.8","3.9","6.1",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-01-05",,,,,"0.5","0.0","0.0",,"8.9","2.2","2.2",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-01-06",,,,,"0.8","13.0","0.0",,"3.9","-1.1","0.0",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-01-07",,,,,"0.0","0.0","0.0",,"6.1","-1.7","-1.1",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-01-08",,,,,"0.0","0.0","0.0",,"5.0","-2.2","-1.7",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-01-09",,,,,"0.0","0.0","0.0",,"4.4","-6.1","-6.1",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-01-10",,,,,"0.0","0.0","0.0",,"0.6","-6.7","-1.1",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-01-11",,,,,"0.0","0.0","0.0",,"10.0","-1.1","8.9",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-01-12",,,,,"3.8","0.0","0.0",,"18.3","8.3","13.9",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-01-13",,,,,"0.0","0.0","0.0",,"17.2","0.0","0.0",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-01-14",,,,,"0.0","0.0","0.0",,"5.6","-0.6","1.1",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-01-15",,,,,"1.8","0.0","0.0",,"5.6","0.6","3.3",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-01-16",,,,,"1.0","0.0","0.0",,"8.9","0.6","5.6",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-01-17",,,,,"0.0","0.0","0.0",,"8.3","-6.7","-6.1",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-01-18",,,,,"0.0","0.0","0.0",,"-2.8","-8.9","-7.8",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-01-19",,,,,"4.1",,"25.0",,"2.8","-7.8","1.7",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-01-20",,,,,"0.0","0.0","0.0",,"4.4","-7.8","-6.7",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-01-21",,,,,"0.0","0.0","0.0",,"-1.7","-7.8","-7.8",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-01-22",,,,,"0.0","0.0","0.0",,"-0.6","-8.9","-8.3",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-01-23",,,,,"0.0","0.0","0.0",,"2.8","-8.9","-7.8",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-01-24",,,,,"0.0","0.0","0.0",,"6.7","-7.8","-2.8",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-01-25",,,,,"0.0","0.0","0.0",,"10.6","-3.3","2.2",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-01-26",,,,,"31.8","0.0","0.0",,"6.7","1.7","2.2",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-01-27",,,,,"0.0","0.0","0.0",,"6.1","1.1","2.2",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-01-28",,,,,"0.0","0.0","0.0",,"6.7","1.7","1.7",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-01-29",,,,,"0.0","0.0","0.0",,"5.0","0.0","0.0",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-01-30",,,,,"0.0","0.0","0.0",,"3.3","-6.1","-6.1",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-01-31",,,,,"0.0","0.0","0.0",,"1.1","-6.7","-3.9",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-02-01",,,,,"0.8","0.0","0.0",,"3.9","-3.9","1.7",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-02-02",,,,,"0.3","0.0","0.0",,"5.0","0.6","0.6",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-02-03",,,,,"2.3",,"0.0",,"5.6","0.0","5.6",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-02-04",,,,,"0.0","0.0","0.0",,"11.7","1.7","3.9",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-02-05",,,,,"0.5","0.0","0.0",,"13.3","3.3","3.9",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-02-06",,,,,"6.4","0.0","0.0",,"4.4","0.0","1.7",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-02-07",,,,,"6.6","0.0","0.0",,"4.4","1.7","3.3",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-02-08",,,,,"0.0","0.0","0.0",,"10.0","-2.8","-2.8",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-02-09",,,,,"0.3","0.0","0.0",,"2.8","-3.9","-2.8",,,,,,,,,,,,,,,,
"USC00280907","BOONTON 1 SE, NJ US","40.89174","-74.39635","85.3","2020-02-10",,,,,"1.5","0.0","0.0",,"4.4","-2.8","3.3",,,,,,,,,,,,,,,,
